生詞,冊,課-序號
利用,2,7-2
紙,2,7-2
瓶子,2,7-2
塑膠,2,7-2
資源,2,7-2
回收桶,2,7-2
城市,2,7-2
聽見,2,7-2
開過來,2,7-2
走過去,2,7-2
丟進去,2,7-2
路上,2,7-2
功夫,2,8-1
叫,2,8-1
見,2,8-1
推,2,8-1
體育館,2,8-1
太極拳,2,8-1
師父,2,8-1
天分,2,8-1
懂,2,8-1
起來,2,8-1
動作,2,8-1
輕,2,8-1
腿,2,8-1
了,2,8-1
下去,2,8-1
興趣,2,8-1
借,2,8-1
有天分,2,8-1
學會,2,8-1
起不來,2,8-1
走不了路,2,8-1
好處,2,8-2
抱怨,2,8-2
公尺,2,8-2
總是,2,8-2
完,2,8-2
體力,2,8-2
整天,2,8-2
精神,2,8-2
本來,2,8-2
可能,2,8-2
回,2,8-2
影響,2,8-2
身體,2,8-2
練,2,8-2
想起,2,8-2
春假,2,9-1
好,2,9-1
到,2,9-1
特色,2,9-1
夠,2,9-1
顏色,2,9-1
廟,2,9-1
像,2,9-1
教堂,2,9-1
南部,2,9-1
潛水,2,9-1
各,2,9-1
魚,2,9-1
酸,2,9-1
檸檬,2,9-1
味道,2,9-1
泰國,2,9-1
比起來,2,9-1
極了,2,9-1
忘不了,2,9-1
鄉下,2,9-2
氣氛,2,9-2
鎮,2,9-2
不同,2,9-2
現代,2,9-2
公寓,2,9-2
馬路,2,9-2
寬,2,9-2
汽車,2,9-2
建築,2,9-2
老,2,9-2
層,2,9-2
北部,2,9-2
熱情,2,9-2
擠,2,9-2
飲料,2,9-2
巴黎,2,9-2
高雄市,2,9-2
中南部,2,9-2
買得起,2,9-2
百貨公司,2,9-2
越來越,2,9-2
馬丁,2,10-1
包,2,10-1
餃子,2,10-1
脫,2,10-1
鞋,2,10-1
關,2,10-1
門,2,10-1
春捲,2,10-1
泡菜,2,10-1
飯廳,2,10-1
下,2,10-1
洗,2,10-1
做菜,2,10-1
水餃,2,10-1
煮,2,10-1
壞,2,10-1
破,2,10-1
餡兒,2,10-1
扁,2,10-1
材料,2,10-1
道,2,10-1
飽,2,10-1
光,2,10-1
鍋子,2,10-1
筷子,2,10-1
碗,2,10-1
韓國,2,10-1
看不出來,2,10-1
酸辣湯,2,10-1
學期,2,10-2
趁,2,10-2
皮,2,10-2
嚐,2,10-2
大白菜,2,10-2
加,2,10-2
鹽,2,10-2
拌,2,10-2
辣椒,2,10-2
調味料,2,10-2
裝,2,10-2
玻璃,2,10-2
壽司,2,10-2
像,2,10-2
食物,2,10-2
做起來,2,10-2
其他,2,11-1
假期,2,11-1
溫泉,2,11-1
建議,2,11-1
票,2,11-1
考慮,2,11-1
順便,2,11-1
湖,2,11-1
原住民,2,11-1
趟,2,11-1
後來,2,11-1
注意,2,11-1
沙灘,2,11-1
錢包,2,11-1
不見,2,11-1
被,2,11-1
偷,2,11-1
安全,2,11-1
值得,2,11-1
墾丁,2,11-1
台中,2,11-1
日月潭,2,11-1
水上活動,2,11-1
風景區,2,11-1
又,2,11-2
遍,2,11-2
民宿,2,11-2
運氣,2,11-2
摩托車,2,11-2
熱帶,2,11-2
植物,2,11-2
所有,2,11-2
白天,2,11-2
躺,2,11-2
黃昏,2,11-2
條,2,11-2
街,2,11-2
啤酒,2,11-2
上,2,11-2
又,2,11-2
浪漫,2,11-2
家鄉,2,11-2
觀光客,2,11-2
曬太陽,2,11-2
水上摩托車,2,11-2
愛上,2,11-2
新,2,12-1
開,2,12-1
素食,2,12-1
速食,2,12-1
錯,2,12-1
肉,2,12-1
欸,2,12-1
讓,2,12-1
吃素,2,12-1
漢堡,2,12-1
變,2,12-1
胖,2,12-1
素菜,2,12-1
油膩,2,12-1
樣,2,12-1
好奇,2,12-1
女孩,2,12-1
青菜,2,12-1
瘦,2,12-1
室友,2,12-1
豬肉,2,12-1
西方,2,12-1
完全,2,12-1
鹹,2,12-1
炸,2,12-1
烤,2,12-1
沙拉,2,12-1
麥當勞,2,12-1
速食店,2,12-1
只要,2,12-2
討厭,2,12-2
餐,2,12-2
宗教,2,12-2
關係,2,12-2
薯條,2,12-2
作法,2,12-2
越,2,12-2
簡單,2,12-2
蒸,2,12-2
有機,2,12-2
食品,2,12-2
地球,2,12-2
汙染,2,12-2
嚴重,2,12-2
衛生,2,12-2
營養,2,12-2
什麼的,2,12-2
林愛麗,2,13-1
掉,2,13-1
低頭,2,13-1
傳,2,13-1
過,2,13-1
簡訊,2,13-1
功能,2,13-1
生氣,2,13-1
叫,2,13-1
罵,2,13-1
健身房,2,13-1
啦,2,13-1
查,2,13-1
班機,2,13-1
訂位,2,13-1
電,2,13-1
充電,2,13-1
糊塗,2,13-1
喔,2,13-1
義大利,2,13-1
拿走,2,13-1
撿到,2,13-1
留下,2,13-1
網路,2,13-2
發生,2,13-2
事情,2,13-2
消息,2,13-2
透過,2,13-2
世界,2,13-2
節省,2,13-2
起床,2,13-2
檢查,2,13-2
郵件,2,13-2
立刻,2,13-2
上傳,2,13-2
正常,2,13-2
談,2,13-2
現代人,2,13-2
比方說,2,13-2
做到,2,13-2
第一手,2,13-2
急著,2,13-2
打招呼,2,13-2
面對面,2,13-2
將來,2,14-1
徵求,2,14-1
教師,2,14-1
認為,2,14-1
畢業,2,14-1
發展,2,14-1
連,2,14-1
想法,2,14-1
不但,2,14-1
繼續,2,14-1
使用,2,14-1
實現,2,14-1
招待,2,14-1
研究所,2,14-1
聚,2,14-1
香港,2,14-1
上海,2,14-1
說到,2,14-1
念完,2,14-1
分公司,2,14-1
捨不得,2,14-1
聚一聚,2,14-1
當時,2,14-2
聲調,2,14-2
發音,2,14-2
準,2,14-2
企業,2,14-2
管理,2,14-2
系,2,14-2
經濟,2,14-2
幫助,2,14-2
有關,2,14-2
語法,2,14-2
研究,2,14-2
教書,2,14-2
方法,2,14-2
目的,2,14-2
國際,2,14-2
翻譯,2,14-2
外交,2,14-2
人員,2,14-2
充實,2,14-2
專業,2,14-2
能力,2,14-2
加拿大,2,14-2
企業管理系（企管系）,2,14-2
國際關係,2,14-2
春節,2,15-1
伯伯,2,15-1
年夜飯,2,15-1
打擾,2,15-1
女兒,2,15-1
國外,2,15-1
圍爐,2,15-1
意思,2,15-1
全家,2,15-1
孩子,2,15-1
吉祥,2,15-1
年紀,2,15-1
過年,2,15-1
除夕夜,2,15-1
睡著,2,15-1
壓歲錢,2,15-1
恭喜發財,2,15-1
好了,2,15-1
節日,2,15-2
打掃,2,15-2
另外,2,15-2
春聯,2,15-2
除夕,2,15-2
年糕,2,15-2
橘子,2,15-2
守歲,2,15-2
說法,2,15-2
晚,2,15-2
活,2,15-2
平安,2,15-2
出門,2,15-2
拜年,2,15-2
又,2,15-2
起來,2,15-2
華人,2,15-2
貼上,2,15-2
年年有餘,2,15-2
步步高升,2,15-2
大吉大利,2,15-2
放鞭炮,2,15-2
大年初一,2,15-2
大年初五,2,15-2
安德思,3,1-1
羅珊蒂,3,1-1
何雅婷,3,1-1
開學,3,1-1
班,3,1-1
新生,3,1-1
嚴,3,1-1
口試,3,1-1
筆試,3,1-1
以外,3,1-1
口頭,3,1-1
報告,3,1-1
壓力,3,1-1
說明,3,1-1
清楚,3,1-1
位子,3,1-1
旁聽,3,1-1
分,3,1-1
羨慕,3,1-1
休學,3,1-1
用功,3,1-1
行,3,1-1
轉,3,1-1
原來,3,1-1
會計,3,1-1
熱門,3,1-1
熬夜,3,1-1
當,3,1-1
恐怕,3,1-1
口才,3,1-1
事,3,1-1
遲到,3,1-1
差一點,3,1-1
這樣下去,3,1-1
沒辦法,3,1-1
獨生女,3,1-2
私立,3,1-2
理想,3,1-2
合,3,1-2
痛苦,3,1-2
科系,3,1-2
放棄,3,1-2
不管,3,1-2
反對,3,1-2
